director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Mai Iskander,Mai Iskander (director),unknown,unknown,Documentary,garbage dreams,Mai Iskander (director) unknown unknown Mai Iskander Documentary
Lucien Castaing-Taylor & Ilisa Barbash,Lucien Castaing-Taylor & Ilisa Barbash (directors),unknown,unknown,Western Documentary,sweetgrass,Lucien Castaing-Taylor & Ilisa Barbash (directors) unknown unknown Lucien Castaing-Taylor & Ilisa Barbash Western Documentary
Peter Spierig & Michael Spierig,Ethan Hawke,Willem Dafoe,Sam Neill,Action Fantasy Horror Science Fiction,daybreakers,Ethan Hawke Willem Dafoe Sam Neill Peter Spierig & Michael Spierig Action Fantasy Horror Science Fiction
Anand Tucker,Amy Adams,Matthew Goode,Adam Scott,Romance Comedy,leap year,Amy Adams Matthew Goode Adam Scott Anand Tucker Romance Comedy
Miguel Arteta,Michael Cera,Portia Doubleday,Justin Long,Comedy Romance,youth in revolt,Michael Cera Portia Doubleday Justin Long Miguel Arteta Comedy Romance
Tim Allen,Tim Allen,Sigourney Weaver,Ray Liotta,Comedy Romance,crazy on the outside,Tim Allen Sigourney Weaver Ray Liotta Tim Allen Comedy Romance
"Kate Davis, David Heilbroner",Kate Davis,David Heilbroner (directors),unknown,Documentary,waiting for armageddon,"Kate Davis David Heilbroner (directors) unknown Kate Davis, David Heilbroner Documentary"
Joshua Goldin,Joshua Goldin (director); Matthew Broderick,Sanaa Lathan,Michael K. Williams,Comedy Drama Romance,wonderful world,Joshua Goldin (director); Matthew Broderick Sanaa Lathan Michael K. Williams Joshua Goldin Comedy Drama Romance
"Allen Hughes, Albert Hughes",Denzel Washington,Gary Oldman,Mila Kunis,Action Thriller Science Fiction,the book of eli,"Denzel Washington Gary Oldman Mila Kunis Allen Hughes, Albert Hughes Action Thriller Science Fiction"
Brian Levant,Jackie Chan,Amber Valletta,Magnús Scheving,Action Comedy Family,the spy next door,Jackie Chan Amber Valletta Magnús Scheving Brian Levant Action Comedy Family
Malcolm Vemille,Malcolm Vemille (director); Ray Winstone,Ian McShane,unknown,Drama Crime,44 inch chest,Malcolm Vemille (director); Ray Winstone Ian McShane unknown Malcolm Vemille Drama Crime
Andrea Arnold,Katie Jarvis,Michael Fassbender,Kierston Wareing,Drama,fish tank,Katie Jarvis Michael Fassbender Kierston Wareing Andrea Arnold Drama
Brent Leung,Brent Leung (director),unknown,unknown,Documentary,house of numbers: anatomy of an epidemic,Brent Leung (director) unknown unknown Brent Leung Documentary
Tom Vaughan,Brendan Fraser,Harrison Ford,Keri Russell,Drama,extraordinary measures,Brendan Fraser Harrison Ford Keri Russell Tom Vaughan Drama
Scott Stewart,Paul Bettany,Lucas Black,Tyrese Gibson,Adventure History Action,legion,Paul Bettany Lucas Black Tyrese Gibson Scott Stewart Adventure History Action
Michael Lembeck,Dwayne Johnson,Ashley Judd,Julie Andrews,Comedy Family Fantasy,tooth fairy,Dwayne Johnson Ashley Judd Julie Andrews Michael Lembeck Comedy Family Fantasy
Jon Amiel,Paul Bettany,Jennifer Connelly,Jeremy Northam,Horror Mystery Thriller,creation,Paul Bettany Jennifer Connelly Jeremy Northam Jon Amiel Horror Mystery Thriller
"Émilie Dequenne, Catherine Deneuve, Ronit Elkabetz, Matthieu Demy",Émilie Dequenne,Catherine Deneuve,Ronit Elkabetz,Crime Drama Mystery Thriller,the girl on the train,"Émilie Dequenne Catherine Deneuve Ronit Elkabetz Émilie Dequenne, Catherine Deneuve, Ronit Elkabetz, Matthieu Demy Crime Drama Mystery Thriller"
"John Legend, Wyclef Jean, The Roots, Joss Stone, Blind Boys of Alabama, Mary Mary, Richie Havens, and Anthony Hamilton",John Legend,Wyclef Jean,The Roots,Documentary,soundtrack for a revolution,"John Legend Wyclef Jean The Roots John Legend, Wyclef Jean, The Roots, Joss Stone, Blind Boys of Alabama, Mary Mary, Richie Havens, and Anthony Hamilton Documentary"
Brian Baugh,Brian Baugh (director); Randy Wayne,Deja Kreutzberg,Joshua Weigel,Drama,to save a life,Brian Baugh (director); Randy Wayne Deja Kreutzberg Joshua Weigel Brian Baugh Drama
Martin Campbell,Mel Gibson,Ray Winstone,Danny Huston,Crime Drama Mystery Thriller,edge of darkness,Mel Gibson Ray Winstone Danny Huston Martin Campbell Crime Drama Mystery Thriller
Mark Steven Johnson,Kristen Bell,Josh Duhamel,Will Arnett,Comedy Fantasy Romance,when in rome,Kristen Bell Josh Duhamel Will Arnett Mark Steven Johnson Comedy Fantasy Romance
Stan Foster,Stan Foster (director); LeToya Luckett,Rae'Ven Larrymore Kelly,Kierra Sheard,Drama Family,preacher's kid,Stan Foster (director); LeToya Luckett Rae'Ven Larrymore Kelly Kierra Sheard Stan Foster Drama Family
Benno Fürmann,Benno Fürmann,unknown,unknown,Documentary,north face,Benno Fürmann unknown unknown Benno Fürmann Documentary
Hue Rhodes,Hue Rhodes (director); Steve Buscemi,Sarah Silverman,unknown,Comedy,saint john of las vegas,Hue Rhodes (director); Steve Buscemi Sarah Silverman unknown Hue Rhodes Comedy
Scandar Copti & Yaron Shani,Scandar Copti & Yaron Shani (directors/screenplay),unknown,unknown,Crime Drama,ajami,Scandar Copti & Yaron Shani (directors/screenplay) unknown unknown Scandar Copti & Yaron Shani Crime Drama
Lasse Hallström,Channing Tatum,Amanda Seyfried,Richard Jenkins,Drama Romance War,dear john,Channing Tatum Amanda Seyfried Richard Jenkins Lasse Hallström Drama Romance War
Pierre Morel,John Travolta,Jonathan Rhys Meyers,Kasia Smutniak,Action Crime Thriller,from paris with love,John Travolta Jonathan Rhys Meyers Kasia Smutniak Pierre Morel Action Crime Thriller
David Belle,David Belle,unknown,unknown,Action Thriller Crime,district 13: ultimatum,David Belle unknown unknown David Belle Action Thriller Crime
"Zohar Strauss, Ran Danker, Tinkerbell, Tzahi Grad, Isaac Sharry, Avi Grainik",Zohar Strauss,Ran Danker,Tinkerbell,Comedy Horror,eyes wide open,"Zohar Strauss Ran Danker Tinkerbell Zohar Strauss, Ran Danker, Tinkerbell, Tzahi Grad, Isaac Sharry, Avi Grainik Comedy Horror"
Adam Green,Emma Bell,Shawn Ashmore,Kevin Zegers,Animation Adventure Family,frozen,Emma Bell Shawn Ashmore Kevin Zegers Adam Green Animation Adventure Family
"Jakob Cedergren, Lene Maria Christensen, Kim Bodnia, Lars Brygmann, Anders Hove, Jens Jørn Spottag, Henrik Lykkegaard",Jakob Cedergren,Lene Maria Christensen,Kim Bodnia,Drama Thriller,terribly happy,"Jakob Cedergren Lene Maria Christensen Kim Bodnia Jakob Cedergren, Lene Maria Christensen, Kim Bodnia, Lars Brygmann, Anders Hove, Jens Jørn Spottag, Henrik Lykkegaard Drama Thriller"
"Nicholas Castel Vanderburgh, Zachary Bloch, Tajja Isen, Siera Florindo",Nicholas Castel Vanderburgh,Zachary Bloch,Tajja Isen,Family Animation,super why! attack of the eraser,"Nicholas Castel Vanderburgh Zachary Bloch Tajja Isen Nicholas Castel Vanderburgh, Zachary Bloch, Tajja Isen, Siera Florindo Family Animation"
Chris Columbus,Logan Lerman,Brandon T. Jackson,Alexandra Daddario,Adventure Fantasy Family,percy jackson & the olympians: the lightning thief,Logan Lerman Brandon T. Jackson Alexandra Daddario Chris Columbus Adventure Fantasy Family
Karan Johar,Karan Johar (director); Shah Rukh Khan,Kajol,Jimmy Shergill,Drama Romance,my name is khan,Karan Johar (director); Shah Rukh Khan Kajol Jimmy Shergill Karan Johar Drama Romance
Erik Gandini,Erik Gandini (director),unknown,unknown,Documentary,videocracy,Erik Gandini (director) unknown unknown Erik Gandini Documentary
Garry Marshall,Jessica Alba,Kathy Bates,Jessica Biel,Comedy Romance,valentine's day,Jessica Alba Kathy Bates Jessica Biel Garry Marshall Comedy Romance
Joe Johnston,Benicio del Toro,Anthony Hopkins,Emily Blunt,Horror History Drama Thriller,the wolfman,Benicio del Toro Anthony Hopkins Emily Blunt Joe Johnston Horror History Drama Thriller
Stéphane Laporte,Stéphane Laporte (director); Celine Dion,René Angélil,unknown,Documentary Music,celine: through the eyes of the world,Stéphane Laporte (director); Celine Dion René Angélil unknown Stéphane Laporte Documentary Music
"Sylvie Testud, Léa Seydoux, Gilette Barbier, Gerhard Liebmann, Bruno Todeschini, Elina Löwensohn, Katharina Flicker, Linde Prelog",Sylvie Testud,Léa Seydoux,Gilette Barbier,Documentary,lourdes,"Sylvie Testud Léa Seydoux Gilette Barbier Sylvie Testud, Léa Seydoux, Gilette Barbier, Gerhard Liebmann, Bruno Todeschini, Elina Löwensohn, Katharina Flicker, Linde Prelog Documentary"
Roman Polanski,Ewan McGregor,Pierce Brosnan,Kim Cattrall,Thriller Mystery,the ghost writer,Ewan McGregor Pierce Brosnan Kim Cattrall Roman Polanski Thriller Mystery
Martin Scorsese,Leonardo DiCaprio,Mark Ruffalo,Ben Kingsley,Drama Thriller Mystery,shutter island,Leonardo DiCaprio Mark Ruffalo Ben Kingsley Martin Scorsese Drama Thriller Mystery
"Alexis Bledel, Scott Porter, Bryan Greenberg, Anna Chlumsky, Aaron Yoo, Andrew McCarthy",Alexis Bledel,Scott Porter,Bryan Greenberg,Comedy Romance,the good guy,"Alexis Bledel Scott Porter Bryan Greenberg Alexis Bledel, Scott Porter, Bryan Greenberg, Anna Chlumsky, Aaron Yoo, Andrew McCarthy Comedy Romance"
"Demi Moore, Rip Torn",Demi Moore,Rip Torn,unknown,Comedy Drama,happy tears,"Demi Moore Rip Torn unknown Demi Moore, Rip Torn Comedy Drama"
"Matthias Schweighöfer, Til Schweiger, Lena Headey, Joseph Fiennes, Maxim Mehmet, Hanno Koffler, Volker Bruch",Matthias Schweighöfer,Til Schweiger,Lena Headey,Documentary,the red baron,"Matthias Schweighöfer Til Schweiger Lena Headey Matthias Schweighöfer, Til Schweiger, Lena Headey, Joseph Fiennes, Maxim Mehmet, Hanno Koffler, Volker Bruch Documentary"
Kevin Smith,Bruce Willis,Tracy Morgan,Kevin Pollak,Action Comedy Crime,cop out,Bruce Willis Tracy Morgan Kevin Pollak Kevin Smith Action Comedy Crime
Breck Eisner,Timothy Olyphant,Radha Mitchell,Joe Anderson,Mystery Horror Action,the crazies,Timothy Olyphant Radha Mitchell Joe Anderson Breck Eisner Mystery Horror Action
Don Argott,Don Argott,unknown,unknown,Comedy Crime,the art of the steal,Don Argott unknown unknown Don Argott Comedy Crime
Peter Stebbings,Woody Harrelson,Kat Dennings,Elias Koteas,Drama Action Comedy Crime,defendor,Woody Harrelson Kat Dennings Elias Koteas Peter Stebbings Drama Action Comedy Crime
Brian Geraghty,Brian Geraghty,unknown,unknown,Drama Comedy Romance,easier with practice,Brian Geraghty unknown unknown Brian Geraghty Drama Comedy Romance
Adam Kane,James Van Der Beek,Wendy Crewson,Will Tiao,Action Adventure Drama Mystery Thriller,formosa betrayed,James Van Der Beek Wendy Crewson Will Tiao Adam Kane Action Adventure Drama Mystery Thriller
Jacques Audiard,Tahar Rahim,Niels Arestrup,Alaa Oumouzoune,Drama,a prophet,Tahar Rahim Niels Arestrup Alaa Oumouzoune Jacques Audiard Drama
"William Hurt, Kristen Stewart",William Hurt,Kristen Stewart,unknown,Drama Romance,the yellow handkerchief,"William Hurt Kristen Stewart unknown William Hurt, Kristen Stewart Drama Romance"
Tim Burton,Johnny Depp,Mia Wasikowska,Helena Bonham Carter,Animation Family Fantasy Adventure,alice in wonderland,Johnny Depp Mia Wasikowska Helena Bonham Carter Tim Burton Animation Family Fantasy Adventure
Antoine Fuqua,Richard Gere,Don Cheadle,Ethan Hawke,Crime Drama Thriller,brooklyn's finest,Richard Gere Don Cheadle Ethan Hawke Antoine Fuqua Crime Drama Thriller
Paul Greengrass,Matt Damon,Greg Kinnear,Brendan Gleeson,War Action Adventure Drama Thriller,green zone,Matt Damon Greg Kinnear Brendan Gleeson Paul Greengrass War Action Adventure Drama Thriller
Rick Famuyiwa,Forest Whitaker,America Ferrera,Carlos Mencia,Comedy,our family wedding,Forest Whitaker America Ferrera Carlos Mencia Rick Famuyiwa Comedy
Allen Coulter,Robert Pattinson,Emilie de Ravin,Chris Cooper,Drama Romance,remember me,Robert Pattinson Emilie de Ravin Chris Cooper Allen Coulter Drama Romance
Jim Field Smith,Jay Baruchel,Alice Eve,T.J. Miller,Comedy Romance,she's out of my league,Jay Baruchel Alice Eve T.J. Miller Jim Field Smith Comedy Romance
Tze Chun,Tze Chun (director),unknown,unknown,Comedy Drama Romance,children of invention,Tze Chun (director) unknown unknown Tze Chun Comedy Drama Romance
Anders Anderson,Jon Hamm,Josh Lucas,unknown,Action Crime Thriller,stolen,Jon Hamm Josh Lucas unknown Anders Anderson Action Crime Thriller
Andy Tennant,Jennifer Aniston,Gerard Butler,Jason Sudeikis,Comedy Action Drama,the bounty hunter,Jennifer Aniston Gerard Butler Jason Sudeikis Andy Tennant Comedy Action Drama
Thor Freudenthal,Zachary Gordon,Robert Capron,Devon Bostick,Comedy Family,diary of a wimpy kid,Zachary Gordon Robert Capron Devon Bostick Thor Freudenthal Comedy Family
Miguel Sapochnik,Jude Law,Forest Whitaker,Alice Braga,Action Science Fiction Thriller Crime,repo men,Jude Law Forest Whitaker Alice Braga Miguel Sapochnik Action Science Fiction Thriller Crime
Raymond De Felitta,Andy García,Julianna Margulies,Steven Strait,Drama Comedy,city island,Andy García Julianna Margulies Steven Strait Raymond De Felitta Drama Comedy
Noah Baumbach,Ben Stiller,Greta Gerwig,Rhys Ifans,Comedy Drama Romance,greenberg,Ben Stiller Greta Gerwig Rhys Ifans Noah Baumbach Comedy Drama Romance
Toni Myers,Leonardo DiCaprio,K. Megan McArthur,Gregory C. Johnson,Documentary,hubble 3d,Leonardo DiCaprio K. Megan McArthur Gregory C. Johnson Toni Myers Documentary
N.C. Heiken,N.C. Heiken (director/screenplay),unknown,unknown,Documentary,kimjongilia,N.C. Heiken (director/screenplay) unknown unknown N.C. Heiken Documentary
Mark Young,Danny Trejo,unknown,unknown,Drama Thriller Mystery,the killing jar,Danny Trejo unknown unknown Mark Young Drama Thriller Mystery
Floria Sigismondi,Dakota Fanning,Kristen Stewart,Michael Shannon,Music Drama,the runaways,Dakota Fanning Kristen Stewart Michael Shannon Floria Sigismondi Music Drama
Steve Pink,John Cusack,Rob Corddry,Craig Robinson,Science Fiction Comedy Adventure,hot tub time machine,John Cusack Rob Corddry Craig Robinson Steve Pink Science Fiction Comedy Adventure
"Chris Sanders, Dean DeBlois",Jay Baruchel,Gerard Butler,Craig Ferguson,Fantasy Adventure Animation Family,how to train your dragon,"Jay Baruchel Gerard Butler Craig Ferguson Chris Sanders, Dean DeBlois Fantasy Adventure Animation Family"
Atom Egoyan,Julianne Moore,Liam Neeson,Amanda Seyfried,Drama Thriller Mystery,chloe,Julianne Moore Liam Neeson Amanda Seyfried Atom Egoyan Drama Thriller Mystery
Don Hahn,Don Hahn,unknown,unknown,Documentary,waking sleeping beauty,Don Hahn unknown unknown Don Hahn Documentary
Julie Anne Robinson,Miley Cyrus,Liam Hemsworth,Greg Kinnear,Drama Family Romance,the last song,Miley Cyrus Liam Hemsworth Greg Kinnear Julie Anne Robinson Drama Family Romance
Louis Leterrier,Sam Worthington,Liam Neeson,Ralph Fiennes,Adventure Fantasy Action,clash of the titans,Sam Worthington Liam Neeson Ralph Fiennes Louis Leterrier Adventure Fantasy Action
Tyler Perry,Janet Jackson,Tyler Perry,Jill Scott,Comedy Romance,why did i get married too?,Janet Jackson Tyler Perry Jill Scott Tyler Perry Comedy Romance
Jake Goldberger,Thomas Haden Church,Elisabeth Shue,Melissa Leo,Crime Mystery Thriller,don mckay,Thomas Haden Church Elisabeth Shue Melissa Leo Jake Goldberger Crime Mystery Thriller
Shana Feste,Pierce Brosnan,Carey Mulligan,Aaron Johnson,Drama,the greatest,Pierce Brosnan Carey Mulligan Aaron Johnson Shana Feste Drama
Davis Doi,Davis Doi (director); Tracey Moore,Ashleigh Ball,Tabitha St. Germain,Adventure Animation Comedy Family,care bears: to the rescue,Davis Doi (director); Tracey Moore Ashleigh Ball Tabitha St. Germain Davis Doi Adventure Animation Comedy Family
Shawn Levy,Steve Carell,Tina Fey,Mark Wahlberg,Comedy,date night,Steve Carell Tina Fey Mark Wahlberg Shawn Levy Comedy
David Nixon,Art D'Alessandro,Sandra Thrift,Cullen Douglas (writers); Bailee Madison,Drama Family,letters to god,Art D'Alessandro Sandra Thrift Cullen Douglas (writers); Bailee Madison David Nixon Drama Family
Agnieszka Wojtowicz-Vosloo,Christina Ricci,Liam Neeson,Justin Long,Drama Horror Mystery Thriller,after.life,Christina Ricci Liam Neeson Justin Long Agnieszka Wojtowicz-Vosloo Drama Horror Mystery Thriller
Gabriel Bologna,Robert Patrick,Danielle Harris,James Duval,Horror Thriller,the black waters of echo's pond,Robert Patrick Danielle Harris James Duval Gabriel Bologna Horror Thriller
Peter Bratt,Benjamin Bratt,Erika Alexander,Jeremy Ray Valdez,Drama,la mission,Benjamin Bratt Erika Alexander Jeremy Ray Valdez Peter Bratt Drama
Tom DiCillo,John Densmore,Robby Krieger,Ray Manzarek,Documentary Music,when you're strange,John Densmore Robby Krieger Ray Manzarek Tom DiCillo Documentary Music
Neil LaBute,Peter Dinklage,Martin Lawrence,James Marsden,Comedy,death at a funeral,Peter Dinklage Martin Lawrence James Marsden Neil LaBute Comedy
Matthew Vaughn,Aaron Johnson,Christopher Mintz-Plasse,Chloë Grace Moretz,Action Crime,kick-ass,Aaron Johnson Christopher Mintz-Plasse Chloë Grace Moretz Matthew Vaughn Action Crime
"Noel Clarke, Ben Drew, Emma Roberts, Tamsin Egerton, Ben Shepherd",Noel Clarke,Ben Drew,Emma Roberts,Action Thriller Crime Romance,4.3.2.1,"Noel Clarke Ben Drew Emma Roberts Noel Clarke, Ben Drew, Emma Roberts, Tamsin Egerton, Ben Shepherd Action Thriller Crime Romance"
James Ivory,Anthony Hopkins,Omar Metwally,Laura Linney,Drama,the city of your final destination,Anthony Hopkins Omar Metwally Laura Linney James Ivory Drama
Banksy,Banksy (director),unknown,unknown,Documentary,exit through the gift shop,Banksy (director) unknown unknown Banksy Documentary
Derrick Borte,Derrick Borte (director); Demi Moore,David Duchovny,Amber Heard,Comedy Drama,the joneses,Derrick Borte (director); Demi Moore David Duchovny Amber Heard Derrick Borte Comedy Drama
William Dear,Clifton Collins,Jr.,Cheech Marin,Drama Family,the perfect game,Clifton Collins Jr. Cheech Marin William Dear Drama Family
"Jacques Perrin, Jacques Cluzaud",Jacques Perrin,Jacques Cluzaud (directors),unknown,Crime Comedy Action,oceans,"Jacques Perrin Jacques Cluzaud (directors) unknown Jacques Perrin, Jacques Cluzaud Crime Comedy Action"
Alan Poul,Jennifer Lopez,Alex O'Loughlin,Michaela Watkins,Comedy Romance,the back-up plan,Jennifer Lopez Alex O'Loughlin Michaela Watkins Alan Poul Comedy Romance
Sylvain White,Jeffrey Dean Morgan,Idris Elba,Chris Evans,Action Adventure Crime Mystery Thriller,the losers,Jeffrey Dean Morgan Idris Elba Chris Evans Sylvain White Action Adventure Crime Mystery Thriller
"Alan Alda, Nat Bodian, Lorraine Lee, Tempest Storm, Blaze Starr, Kitty West, Taffy O'Neill, Mike Iannucci",Alan Alda,Nat Bodian,Lorraine Lee,Documentary,behind the burly q,"Alan Alda Nat Bodian Lorraine Lee Alan Alda, Nat Bodian, Lorraine Lee, Tempest Storm, Blaze Starr, Kitty West, Taffy O'Neill, Mike Iannucci Documentary"
"Stellan Skarsgård, Christopher Lee, Gillian Anderson, Heather Graham, Joanna Lumley, Jaime Winstone, Amanda Seyfried, Alan Cumming",Stellan Skarsgård,Christopher Lee,Gillian Anderson,Comedy Drama,boogie woogie,"Stellan Skarsgård Christopher Lee Gillian Anderson Stellan Skarsgård, Christopher Lee, Gillian Anderson, Heather Graham, Joanna Lumley, Jaime Winstone, Amanda Seyfried, Alan Cumming Comedy Drama"
"Jeff Daniels, Emma Stone, Ryan Reynolds, Lisa Kudrow, Kieran Culkin",Jeff Daniels,Emma Stone,Ryan Reynolds,Comedy Drama,paper man,"Jeff Daniels Emma Stone Ryan Reynolds Jeff Daniels, Emma Stone, Ryan Reynolds, Lisa Kudrow, Kieran Culkin Comedy Drama"
Tom Six,Dieter Laser,Ashley C. Williams,Ashlynn Yennie,Horror,the human centipede (first sequence),Dieter Laser Ashley C. Williams Ashlynn Yennie Tom Six Horror
Roger Kumble,Brendan Fraser,Brooke Shields,Ken Jeong,Family Comedy Fantasy,furry vengeance,Brendan Fraser Brooke Shields Ken Jeong Roger Kumble Family Comedy Fantasy
Samuel Bayer,Jackie Earle Haley,Rooney Mara,Thomas Dekker,Horror,a nightmare on elm street,Jackie Earle Haley Rooney Mara Thomas Dekker Samuel Bayer Horror
Paul Dano,Paul Dano,unknown,unknown,Drama Comedy Romance,the good heart,Paul Dano unknown unknown Paul Dano Drama Comedy Romance
Daniel Barber,Michael Caine,Emily Mortimer,Charlie Creed-Miles,Thriller Crime Drama Action,harry brown,Michael Caine Emily Mortimer Charlie Creed-Miles Daniel Barber Thriller Crime Drama Action
Nicole Holofcener,Catherine Keener,Amanda Peet,Oliver Platt,Comedy Drama,please give,Catherine Keener Amanda Peet Oliver Platt Nicole Holofcener Comedy Drama
Josh Appignanesi,Omid Djalili,Richard Schiff,Archie Panjabi,Comedy Drama,the infidel,Omid Djalili Richard Schiff Archie Panjabi Josh Appignanesi Comedy Drama
"Andy Serkis, Ray Winstone",Andy Serkis,Ray Winstone,unknown,Documentary Comedy,sex & drugs & rock & roll,"Andy Serkis Ray Winstone unknown Andy Serkis, Ray Winstone Documentary Comedy"
Jacob Tierney,Jacob Tierney (director/screenplay),unknown,unknown,Comedy,the trotsky,Jacob Tierney (director/screenplay) unknown unknown Jacob Tierney Comedy
Jon Favreau,Robert Downey Jr.,Don Cheadle,Mickey Rourke,Adventure Action Science Fiction,iron man 2,Robert Downey Jr. Don Cheadle Mickey Rourke Jon Favreau Adventure Action Science Fiction
Thomas Balmès,Thomas Balmès (director),unknown,unknown,Horror Comedy,babies,Thomas Balmès (director) unknown unknown Thomas Balmès Horror Comedy
Alex Gibney,Alex Gibney (director),unknown,unknown,Documentary,casino jack and the united states of money,Alex Gibney (director) unknown unknown Alex Gibney Documentary
"Richard Dreyfuss, Blythe Danner",Richard Dreyfuss,Blythe Danner,unknown,Comedy Drama,the lightkeepers,"Richard Dreyfuss Blythe Danner unknown Richard Dreyfuss, Blythe Danner Comedy Drama"
Mira Sorvino and Timothy Hutton,Mira Sorvino and Timothy Hutton,unknown,unknown,Drama Romance,multiple sarcasms,Mira Sorvino and Timothy Hutton unknown unknown Mira Sorvino and Timothy Hutton Drama Romance
Rodrigo García,Naomi Watts,Annette Bening,Kerry Washington,Drama Romance,mother and child,Naomi Watts Annette Bening Kerry Washington Rodrigo García Drama Romance
Michel Hazanavicius,Michel Hazanavicius (director),unknown,unknown,Crime Action Comedy Adventure,oss 117: lost in rio,Michel Hazanavicius (director) unknown unknown Michel Hazanavicius Crime Action Comedy Adventure
Laura Poitras,Laura Poitras,unknown,unknown,Comedy,the oath,Laura Poitras unknown unknown Laura Poitras Comedy
Harmony Korine,Harmony Korine (director/screenplay),unknown,unknown,Horror Drama,trash humpers,Harmony Korine (director/screenplay) unknown unknown Harmony Korine Horror Drama
Adam L. Wood,Adam L. Wood (director); Kelly Sheridan,Kathleen Barr,Tabitha St. Germain,Animation Family Fantasy,barbie in a mermaid tale,Adam L. Wood (director); Kelly Sheridan Kathleen Barr Tabitha St. Germain Adam L. Wood Animation Family Fantasy
"Vincent Gallo, Juliette Lewis, Alexander Skarsgård, Stellan Skarsgård, Udo Kier",Vincent Gallo,Juliette Lewis,Alexander Skarsgård,Animation Drama Science Fiction Thriller,metropia,"Vincent Gallo Juliette Lewis Alexander Skarsgård Vincent Gallo, Juliette Lewis, Alexander Skarsgård, Stellan Skarsgård, Udo Kier Animation Drama Science Fiction Thriller"
Sanaa Hamri,Queen Latifah,Common,Paula Patton,Comedy Drama Romance,just wright,Queen Latifah Common Paula Patton Sanaa Hamri Comedy Drama Romance
Gary Winick,Amanda Seyfried,Christopher Egan,Gael García Bernal,Comedy Drama Romance,letters to juliet,Amanda Seyfried Christopher Egan Gael García Bernal Gary Winick Comedy Drama Romance
Ridley Scott,Russell Crowe,Mark Addy,Cate Blanchett,Adventure Action Thriller,robin hood,Russell Crowe Mark Addy Cate Blanchett Ridley Scott Adventure Action Thriller
"Ben Safdie, Joshua Safdie",Ben Safdie,Joshua Safdie (directors/screenplay),unknown,Drama Comedy,daddy longlegs,"Ben Safdie Joshua Safdie (directors/screenplay) unknown Ben Safdie, Joshua Safdie Drama Comedy"
"David Thornton, Mirjana Karanović, Cyndi Lauper, Branislav Trifunović, Jelena Mrdja, Antone Pagan, Max King, Fredda Lomsky",David Thornton,Mirjana Karanović,Cyndi Lauper,Animation,here and there,"David Thornton Mirjana Karanović Cyndi Lauper David Thornton, Mirjana Karanović, Cyndi Lauper, Branislav Trifunović, Jelena Mrdja, Antone Pagan, Max King, Fredda Lomsky Animation"
Ken Loach,Ken Loach (director); Eric Cantona,Steve Evets,Stephanie Bishop,Comedy Drama,looking for eric,Ken Loach (director); Eric Cantona Steve Evets Stephanie Bishop Ken Loach Comedy Drama
Marc Forby,Marc Forby (director); Q'orianka Kilcher,Barry Pepper,Will Patton,Drama,princess kaiulani,Marc Forby (director); Q'orianka Kilcher Barry Pepper Will Patton Marc Forby Drama
"Logan Miller, Noah Miller",Logan Miller,Noah Miller (directors/screenplay),unknown,Drama,touching home,"Logan Miller Noah Miller (directors/screenplay) unknown Logan Miller, Noah Miller Drama"
Jorma Taccone,Will Forte,Kristen Wiig,Ryan Phillippe,Action Adventure Comedy,macgruber,Will Forte Kristen Wiig Ryan Phillippe Jorma Taccone Action Adventure Comedy
Mike Mitchell,Mike Myers,Eddie Murphy,Cameron Diaz,Comedy Adventure Fantasy Animation Family,shrek forever after,Mike Myers Eddie Murphy Cameron Diaz Mike Mitchell Comedy Adventure Fantasy Animation Family
Kevin Asch,Jesse Eisenberg,Justin Bartha,Ari Graynor,Drama Thriller,holy roller,Jesse Eisenberg Justin Bartha Ari Graynor Kevin Asch Drama Thriller
Florian Gallenberger,Florian Gallenberger (director/screenplay),unknown,unknown,Drama History War,john rabe,Florian Gallenberger (director/screenplay) unknown unknown Florian Gallenberger Drama History War
"Jim Broadbent, Brendan Gleeson",Jim Broadbent,Brendan Gleeson,unknown,Action Comedy Crime Drama,perrier's bounty,"Jim Broadbent Brendan Gleeson unknown Jim Broadbent, Brendan Gleeson Action Comedy Crime Drama"
Marshall Curry,Marshall Curry (director),unknown,unknown,Documentary,racing dreams,Marshall Curry (director) unknown unknown Marshall Curry Documentary
"Brian Koppelman, David Levien",Michael Douglas,Susan Sarandon,Danny DeVito,Comedy Drama Romance,solitary man,"Michael Douglas Susan Sarandon Danny DeVito Brian Koppelman, David Levien Comedy Drama Romance"
nan,nan,unknown,unknown,Adventure Action Fantasy,the 7 adventures of sinbad,nan unknown unknown nan Adventure Action Fantasy
Michael Patrick King,Sarah Jessica Parker,Kristin Davis,Cynthia Nixon,Comedy Drama Romance,sex and the city 2,Sarah Jessica Parker Kristin Davis Cynthia Nixon Michael Patrick King Comedy Drama Romance
Mike Newell,Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Adventure Fantasy Action,prince of persia: the sands of time,Jake Gyllenhaal Gemma Arterton Ben Kingsley Mike Newell Adventure Fantasy Action
Alejandro Amenábar,Alejandro Amenábar (director); Rachel Weisz,Max Minghella,Oscar Isaac,Adventure Drama History,agora,Alejandro Amenábar (director); Rachel Weisz Max Minghella Oscar Isaac Alejandro Amenábar Adventure Drama History
